"Occurrence","AnnualRainfall","RainfallSeasonality","TempSeasonality","MaxTemp","Isothermality","Watering","PlantMaterialOrigin","Area","Slope"
0,-0.256059475,-0.056270686,0.866242705,1.425048038,-0.793809048,"Irrigated","Vivero",0.024649164,-0.582271369402088
0,-0.464133324,-0.107861411,0.865377986,1.685683457,-0.793809048,"Irrigated","Vivero",0.130969244,-1.27257296047488
0,-0.336350157,-0.108951214,0.856590255,1.514119275,-0.793809048,"Irrigated","Vivero",3.137193874,-1.10239683332915
1,-1.010940536,0.033101722,0.516311737,1.623216934,-0.793809048,"Irrigated","Estaca",0.555274148,-0.202278220586009
0,-1.010940536,0.033101722,0.516311737,1.623216934,-0.793809048,"Irrigated","Estaca",0.587950502,0.111755106382516
1,-0.708369338,-0.118347347,0.503765908,1.56001765,-0.793809048,"Irrigated","Vivero",1.176612593,-1.10682912578675
1,-0.748492924,-0.043721373,0.429398798,1.467162416,-0.793809048,"Irrigated","Vivero",13.0278875,-0.568296145039542
1,-1.127334464,-0.001092706,0.284220769,1.520047833,-0.364542117,"Irrigated","Vivero",0.052936158,-1.34644836456701
0,-0.927466471,0.085182738,0.397347727,1.59192982,1.41930283,"Irrigated","Vivero",0.166571839,-0.648776685207692
0,-0.788811993,0.125189621,0.503696363,1.56001765,1.229446041,"Irrigated","Estaca",0.920956696,-0.635509226297263
1,-0.788811993,0.125189621,0.503696363,1.56001765,1.229446041,"Irrigated","Estaca",0.331709357,-0.371402466111034
1,-1.158492702,-0.029892853,0.256710225,1.56001765,0.370853833,"Irrigated","Vivero",-0.205548439,-1.33277324771247
1,-1.03229214,0.033101722,0.333578465,1.582455619,0.229657555,"Irrigated","Vivero",-0.164581069,-1.24016940038153
0,-1.158492702,-0.029892853,0.256710225,1.56001765,0.370853833,"Irrigated","Estaca",-0.342106339,-1.56166303057431
0,-0.812444173,0.09674139,0.432786495,1.423471103,-0.793809048,"Rainfed","Estaca",-0.166531896,0.755674663497652
0,-0.788811993,0.125189621,0.503696363,1.56001765,1.229446041,"Irrigated","Vivero",0.158475906,-0.72237117936865
0,-1.147288486,0.261727268,-1.184971168,-0.5376835,1.41930283,"Irrigated","Estaca",-0.33430303,1.77511104176922
0,-0.446996526,0.055772238,-0.766080575,-0.784513702,1.41930283,"Rainfed","Estaca",-0.335278444,1.82059655374633
0,-0.345531745,0.113180578,-0.506514127,-0.513529128,1.41930283,"Irrigated","Vivero",0.769865134,-0.444890868728799
0,-0.446996526,0.055772238,-0.766080575,-0.784513702,1.41930283,"Rainfed","Estaca",-0.335278444,0.774382215654549
0,-1.443694558,0.287147765,-1.367031112,-0.454922128,1.41930283,"Rainfed","Vivero",-0.243589568,0.285647605260583
0,-0.223367304,-0.011981896,-0.667336847,-0.977384474,1.41930283,"Rainfed","Estaca",-0.341130925,2.01307091596215
0,-0.90677578,0.174513009,-0.979311292,-0.493054087,1.41930283,"Irrigated","Estaca",-0.229933778,-0.135708293483498
0,-1.443694558,0.287147765,-1.367031112,-0.454922128,1.41930283,"Rainfed","Vivero",-0.343081753,1.54458350302509
0,0.490035603,-0.188699412,-0.386509774,-1.54744876,1.41930283,"Rainfed","Estaca",-0.224081297,1.04555121891955
0,1.964482441,-0.419957153,-0.047663937,-2.774446847,1.41930283,"Rainfed","Estaca",-0.298212728,1.23720287197924
0,1.900128837,-0.26606013,-0.08188513,-2.744737089,1.41930283,"Rainfed","Estaca",-0.287483179,1.06504822917134
0,1.21844135,0.852959059,0.213769569,0.415545813,-0.793809048,"Rainfed","Estaca",-0.28397169,1.34365095343908
0,1.21844135,0.852959059,0.213769569,0.415545813,-0.793809048,"Rainfed","Vivero",-0.289434006,0.833715910016077
0,0.3549256,1.173114681,-0.619597214,0.509833088,-0.793809048,"Rainfed","Estaca",-0.335863692,0.81804085063699
0,0.598555357,1.021579899,-0.33475755,0.386700459,-0.793809048,"Rainfed","Estaca",-0.290116796,0.286570446775781
0,0.843183607,0.947603908,-0.149138939,0.059645309,1.07894379,"Rainfed","Estaca",0.253871354,0.592574206809593
0,0.843183607,0.947603908,-0.149138939,0.059645309,1.07894379,"Rainfed","Estaca",-0.303089796,1.1482232801731
0,0.843183607,0.947603908,-0.149138939,0.059645309,1.07894379,"Rainfed","Estaca",-0.149949865,0.870991216507907
0,0.399376284,0.948419171,-0.524382473,0.305783587,-0.793809048,"Rainfed","Estaca",0.183641577,0.167746139919214
0,0.751774585,0.803590705,-0.259783733,0.26884501,-0.793809048,"Rainfed","Estaca",-0.110933322,1.70092204681575
0,0.560629795,1.120265879,-0.264633827,0.367511705,-0.481260549,"Irrigated","Estaca",0.572831592,0.756213774695378
0,0.399376284,0.948419171,-0.524382473,0.305783587,-0.793809048,"Rainfed","Estaca",0.0344033,1.02882431690252
0,0.560629795,1.120265879,-0.264633827,0.367511705,-0.481260549,"Irrigated","Estaca",-0.105080841,-0.0866232109533033
1,0.731784355,1.085205603,-0.396977551,0.30691185,-0.793809048,"Rainfed","Estaca",-0.323573481,-0.186391148591226
1,0.759750895,1.121551919,-0.419044774,0.109209086,-0.793809048,"Rainfed","Estaca",-0.159704001,0.00474220468460016
1,0.421804272,1.176229454,-0.493127341,0.581090446,-0.793809048,"Rainfed","Vivero",0.006116306,1.51626823446502
0,0.560629795,1.120265879,-0.264633827,0.367511705,-0.481260549,"Irrigated","Estaca",0.071469016,1.03131947584879
1,0.560629795,1.120265879,-0.264633827,0.367511705,-0.481260549,"Irrigated","Estaca",-0.298212728,0.252857475966533
0,0.560629795,1.120265879,-0.264633827,0.367511705,-0.481260549,"Irrigated","Estaca",-0.299188142,0.389963379064585
0,1.496560608,0.812611166,-0.019628483,-0.200716262,-0.793809048,"Rainfed","Estaca",-0.299188142,-0.927836782711175
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,"Rainfed","Estaca",-0.296261901,0.579582570180719
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,"Rainfed","Estaca",-0.301138969,0.260191010402579
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,"Rainfed","Estaca",-0.296261901,0.867746954441633
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,"Rainfed","Estaca",-0.325524308,1.68027013356303
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,"Rainfed","Estaca",-0.281435615,0.73748522163875
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,"Rainfed","Estaca",-0.272851975,0.565733373019792
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,"Rainfed","Estaca",-0.328450549,0.997666890910367
0,0.598555357,1.021579899,-0.33475755,0.386700459,-0.793809048,"Rainfed","Estaca",0.72792235,2.14952380570279
1,0.230324965,0.598587684,-0.842373948,-1.016086552,1.41930283,"Irrigated","Vivero",0.649889264,0.950262648801587
0,1.219474971,0.490207896,-0.57056778,-1.656657719,1.41930283,"Rainfed","Vivero",-0.277729043,-1.59095891049422
0,0.875952948,0.485077619,-0.571512594,-1.431994977,1.41930283,"Rainfed","Vivero",-0.323573481,0.0766023999686254
1,1.369886814,0.707986508,-0.665828663,-1.64874358,1.41930283,"Irrigated","Estaca",-0.206523852,3.19151790243264
0,0.988133084,0.490362426,-0.816255274,-1.653849997,1.41930283,"Irrigated","Estaca",-0.172384377,1.80182471707772
